frame_id,dataset_id,split,path,sample_rate_hz,n_samples,duration_s,snr_db,n_signals,labels_json
synthetic_frame_0000,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0000.npz,4000000.0,32768,0.008192,-4,1,"[""tone""]"
synthetic_frame_0001,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0001.npz,4000000.0,32768,0.008192,0,2,"[""tone"", ""chirp""]"
synthetic_frame_0002,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0002.npz,4000000.0,32768,0.008192,4,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0003,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0003.npz,4000000.0,32768,0.008192,8,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0004,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0004.npz,4000000.0,32768,0.008192,12,1,"[""tone""]"
synthetic_frame_0005,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0005.npz,4000000.0,32768,0.008192,-4,2,"[""tone"", ""chirp""]"
synthetic_frame_0006,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0006.npz,4000000.0,32768,0.008192,0,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0007,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0007.npz,4000000.0,32768,0.008192,4,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0008,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0008.npz,4000000.0,32768,0.008192,8,1,"[""tone""]"
synthetic_frame_0009,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0009.npz,4000000.0,32768,0.008192,12,2,"[""tone"", ""chirp""]"
synthetic_frame_0010,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0010.npz,4000000.0,32768,0.008192,-4,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0011,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0011.npz,4000000.0,32768,0.008192,0,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0012,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0012.npz,4000000.0,32768,0.008192,4,1,"[""tone""]"
synthetic_frame_0013,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0013.npz,4000000.0,32768,0.008192,8,2,"[""tone"", ""chirp""]"
synthetic_frame_0014,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0014.npz,4000000.0,32768,0.008192,12,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0015,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0015.npz,4000000.0,32768,0.008192,-4,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0016,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0016.npz,4000000.0,32768,0.008192,0,1,"[""tone""]"
synthetic_frame_0017,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0017.npz,4000000.0,32768,0.008192,4,2,"[""tone"", ""chirp""]"
synthetic_frame_0018,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0018.npz,4000000.0,32768,0.008192,8,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0019,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0019.npz,4000000.0,32768,0.008192,12,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0020,synthetic_controlled_iq,train,data/processed/synthetic_frames/synthetic_frame_0020.npz,4000000.0,32768,0.008192,-4,1,"[""tone""]"
synthetic_frame_0021,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0021.npz,4000000.0,32768,0.008192,0,2,"[""tone"", ""chirp""]"
synthetic_frame_0022,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0022.npz,4000000.0,32768,0.008192,4,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0023,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0023.npz,4000000.0,32768,0.008192,8,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0024,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0024.npz,4000000.0,32768,0.008192,12,1,"[""tone""]"
synthetic_frame_0025,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0025.npz,4000000.0,32768,0.008192,-4,2,"[""tone"", ""chirp""]"
synthetic_frame_0026,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0026.npz,4000000.0,32768,0.008192,0,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0027,synthetic_controlled_iq,val,data/processed/synthetic_frames/synthetic_frame_0027.npz,4000000.0,32768,0.008192,4,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0028,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0028.npz,4000000.0,32768,0.008192,8,1,"[""tone""]"
synthetic_frame_0029,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0029.npz,4000000.0,32768,0.008192,12,2,"[""tone"", ""chirp""]"
synthetic_frame_0030,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0030.npz,4000000.0,32768,0.008192,-4,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0031,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0031.npz,4000000.0,32768,0.008192,0,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
synthetic_frame_0032,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0032.npz,4000000.0,32768,0.008192,4,1,"[""tone""]"
synthetic_frame_0033,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0033.npz,4000000.0,32768,0.008192,8,2,"[""tone"", ""chirp""]"
synthetic_frame_0034,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0034.npz,4000000.0,32768,0.008192,12,3,"[""tone"", ""chirp"", ""burst""]"
synthetic_frame_0035,synthetic_controlled_iq,test,data/processed/synthetic_frames/synthetic_frame_0035.npz,4000000.0,32768,0.008192,-4,4,"[""tone"", ""chirp"", ""burst"", ""tone""]"
